crypto_name,price_usd,change_24h,market_cap_usd,volume_24h_usd
Bitcoin,95048.0,0.12984739957344207,1887727337823.738,27052507562.81066
Ethereum,1809.89,0.16718091761860915,218574035890.8682,13464705895.741293
Solana,148.69,0.8962985567811478,77005875908.19774,3343214777.1164174
Cardano,0.68997,-1.2937435689855319,24866676626.633778,629961980.2903208
Ripple,2.2,-2.131066393086126,128725664059.75214,2762327260.4356017
Dogecoin,0.175171,-0.24777581923319558,26111911440.606274,985617545.811353
Polkadot,4.1,-0.849257710654541,6248929767.127175,140347652.38672
Chainlink,14.63,0.05008466734827603,9612856413.362501,322668309.5294412
Litecoin,84.67,-0.9326776510509381,6419428698.250017,334325018.9503862
Binance Coin,600.71,-0.4922571614312217,87652112439.30122,706088107.4867892
