crypto_name,price_usd,change_24h,market_cap_usd,volume_24h_usd,news_count,pct_positive,pct_negative,avg_compound
Bitcoin,94947.0,0.6758763511866995,1885621257903.2144,23802308944.351555,369,0.24932249322493225,0.27371273712737126,-0.004886991869918698
Ethereum,1804.21,0.5296871871248012,217729880542.38663,13722553619.831469,26,0.46153846153846156,0.11538461538461539,0.13378461538461536
Solana,147.13,0.2935680730870836,76144906206.97232,3184165216.2740088,9,0.5555555555555556,0.3333333333333333,0.04151111111111109
Cardano,0.699095,-0.258977780409249,25200221816.877083,807272725.4699624,2,0.5,0.5,-0.21515000000000004
Ripple,2.25,-0.65603233541135,131804151096.83754,2446584555.434564,12,0.16666666666666666,0.08333333333333333,0.03999166666666666
Dogecoin,0.175585,-1.237073044993328,26179497037.348465,915819157.659528,3,0.3333333333333333,0.3333333333333333,0.054266666666666664
Polkadot,4.15,-2.8428935148757053,6311748082.488854,137017789.70791957,2,0.0,0.0,0.0
Chainlink,14.62,-1.8651109015138576,9605351472.78733,311878998.93566,1,0.0,0.0,0.0
Litecoin,85.51,-0.2999512993736814,6482075906.873721,388677945.8643463,3,0.6666666666666666,0.0,0.4436
Binance Coin,602.85,-0.71236520939794,87943202874.56119,796056734.0999688,5,0.4,0.2,0.17143999999999998
