,final_return,final_return,final_return,sharpe,sharpe,sharpe,max_drawdown,max_drawdown,max_drawdown
strategy,Buy & Hold,LSTM,SARIMA,Buy & Hold,LSTM,SARIMA,Buy & Hold,LSTM,SARIMA
crypto_name,,,,,,,,,
Bitcoin,0.13371113686128888,0.0,0.0,5.788029955828214,,,-0.9134252696024514,,
Cardano,0.11683508129729714,0.0,0.014523294885071536,3.2079423770324813,,5.000217116622587,-1.467428227488529,,0.0
Chainlink,0.1543179761034974,0.13227790769164005,0.0,3.9966716861363305,4.320123075282774,,-1.873181458250861,-1.873181458250861,
Ethereum,0.14891874914466174,0.12216752649759122,0.0,3.9428875550031863,3.3452400019669217,,-0.8801651404942356,-0.8801651404942356,
Litecoin,0.12058131756422608,0.12058131756422608,0.0,4.442396122293066,4.442396122293066,,-1.774278550466731,-1.774278550466731,
Polkadot,0.16345936823441676,0.18931847332799978,0.0,4.402824260817149,6.183072206669003,,-1.2161847658520162,-1.2161847658520162,
Solana,0.20982278970473733,0.22580868408689425,0.0,4.9464889730376225,5.478467339037622,,-0.5436316032506137,-0.5436316032506137,
